experiment,k,jl_eps,cluster_radius,lambda_eps,lambda_k,jl_dim,actual_clusters,items_assigned,lambda_min,lambda_max,lambda_mean,lambda_spread,graph_nnz,graph_sparsity,graph_density,build_time_s
96,25,0.600,2.0,2.00,50,72,25,800,0.00000000,1.00000000,0.23045069,1.00000000,3711,0.832845,0.167155,60.06
97,25,0.600,2.0,2.50,20,72,25,800,0.00000000,1.00000000,0.29467190,1.00000000,1587,0.928517,0.071483,60.70
98,25,0.600,2.0,2.50,30,72,25,800,0.00000000,1.00000000,0.33081543,1.00000000,2415,0.891221,0.108779,62.18
99,25,0.600,2.0,2.50,50,72,25,800,0.00000000,1.00000000,0.28686541,1.00000000,3711,0.832845,0.167155,61.31
100,25,0.600,2.0,3.00,20,72,25,800,0.00000000,1.00000000,0.23947096,1.00000000,1583,0.928697,0.071303,61.47
101,25,0.600,2.0,3.00,30,72,25,800,0.00000000,1.00000000,0.32466657,1.00000000,2415,0.891221,0.108779,61.34
102,25,0.600,2.0,3.00,50,72,25,800,0.00000000,1.00000000,0.31290554,1.00000000,3709,0.832935,0.167065,62.38
103,25,0.600,2.0,4.00,20,72,25,800,0.00000000,1.00000000,0.33469084,1.00000000,1587,0.928517,0.071483,61.60
104,25,0.600,2.0,4.00,30,72,25,800,0.00000000,1.00000000,0.27152520,1.00000000,2417,0.891131,0.108869,61.23
105,25,0.600,2.0,4.00,50,72,25,800,0.00000000,1.00000000,0.32563328,1.00000000,3715,0.832665,0.167335,62.12
106,25,0.600,2.0,5.00,20,72,25,800,0.00000000,1.00000000,0.29393014,1.00000000,1589,0.928427,0.071573,60.94
107,25,0.600,2.0,5.00,30,72,25,800,0.00000000,1.00000000,0.29271439,1.00000000,2415,0.891221,0.108779,61.51
108,25,0.600,2.0,5.00,50,72,25,800,0.00000000,1.00000000,0.25103408,1.00000000,3701,0.833296,0.166704,62.51
109,25,0.600,2.5,1.50,20,72,25,800,0.00000000,1.00000000,0.32115803,1.00000000,1591,0.928337,0.071663,60.86
110,25,0.600,2.5,1.50,30,72,25,800,0.00000000,1.00000000,0.25524079,1.00000000,2393,0.892212,0.107788,61.77
111,25,0.600,2.5,1.50,50,72,25,800,0.00000000,1.00000000,0.30947261,1.00000000,3663,0.835007,0.164993,60.15
112,25,0.600,2.5,2.00,20,72,25,800,0.00000000,1.00000000,0.31772481,1.00000000,1589,0.928427,0.071573,62.43
113,25,0.600,2.5,2.00,30,72,25,800,0.00000000,1.00000000,0.22398953,1.00000000,2421,0.890951,0.109049,61.43
114,25,0.600,2.5,2.00,50,72,25,800,0.00000000,1.00000000,0.23890318,1.00000000,3707,0.833026,0.166974,60.76
115,25,0.600,2.5,2.50,20,72,25,800,0.00000000,1.00000000,0.30424386,1.00000000,1587,0.928517,0.071483,62.40
