experiment,k,jl_eps,cluster_radius,lambda_eps,lambda_k,jl_dim,actual_clusters,items_assigned,lambda_min,lambda_max,lambda_mean,lambda_spread,graph_nnz,graph_sparsity,graph_density,build_time_s
193,25,0.700,2.5,4.00,20,53,25,800,0.00000000,1.00000000,0.37447585,1.00000000,2378,0.950868,0.049132,48.84
194,25,0.700,2.5,4.00,30,53,25,800,0.00000000,1.00000000,0.25505488,1.00000000,3624,0.925124,0.074876,49.39
195,25,0.700,2.5,4.00,50,53,25,800,0.00000000,1.00000000,0.22925321,1.00000000,5616,0.883967,0.116033,49.27
196,25,0.700,2.5,5.00,20,53,25,800,0.00000000,1.00000000,0.21234827,1.00000000,2372,0.950992,0.049008,49.40
197,25,0.700,2.5,5.00,30,53,25,800,0.00000000,1.00000000,0.27263994,1.00000000,3614,0.925331,0.074669,48.86
198,25,0.700,2.5,5.00,50,53,25,800,0.00000000,1.00000000,0.40324355,1.00000000,5626,0.883760,0.116240,48.80
199,25,0.700,3.0,1.50,20,53,25,800,0.00000000,1.00000000,0.39069968,1.00000000,2376,0.950909,0.049091,52.76
200,25,0.700,3.0,1.50,30,53,25,800,0.00000000,1.00000000,0.22625586,1.00000000,3596,0.925702,0.074298,49.18
201,25,0.700,3.0,1.50,50,53,25,800,0.00000000,1.00000000,0.30159917,1.00000000,5580,0.884711,0.115289,49.01
202,25,0.700,3.0,2.00,20,53,25,800,0.00000000,1.00000000,0.31703027,1.00000000,2372,0.950992,0.049008,48.81
203,25,0.700,3.0,2.00,30,53,25,800,0.00000000,1.00000000,0.24497640,1.00000000,3622,0.925165,0.074835,48.83
204,25,0.700,3.0,2.00,50,53,25,800,0.00000000,1.00000000,0.32633257,1.00000000,5642,0.883430,0.116570,48.80
205,25,0.700,3.0,2.50,20,53,25,800,0.00000000,1.00000000,0.32254182,1.00000000,2378,0.950868,0.049132,48.79
206,25,0.700,3.0,2.50,30,53,9,800,0.00000000,1.00000000,0.24627079,1.00000000,3620,0.925207,0.074793,51.67
207,25,0.700,3.0,2.50,50,53,25,800,0.00000000,1.00000000,0.31272920,1.00000000,5622,0.883843,0.116157,48.90
208,25,0.700,3.0,3.00,20,53,25,800,0.00000000,1.00000000,0.24946307,1.00000000,2372,0.950992,0.049008,48.93
209,25,0.700,3.0,3.00,30,53,25,800,0.00000000,1.00000000,0.25200376,1.00000000,3618,0.925248,0.074752,48.83
