experiment,k,jl_eps,cluster_radius,lambda_eps,lambda_k,jl_dim,actual_clusters,items_assigned,lambda_min,lambda_max,lambda_mean,lambda_spread,graph_nnz,graph_sparsity,graph_density,build_time_s
101,25,0.600,2.0,3.00,30,72,25,800,0.00000000,1.00000000,0.23612527,1.00000000,4944,0.944327,0.055673,126.70
102,25,0.600,2.0,3.00,50,72,25,800,0.00000000,1.00000000,0.30207213,1.00000000,7732,0.912932,0.087068,149.79
103,25,0.600,2.0,4.00,20,72,25,800,0.00000000,1.00000000,0.23191297,1.00000000,3228,0.963650,0.036350,152.39
104,25,0.600,2.0,4.00,30,72,25,800,0.00000000,1.00000000,0.28283293,1.00000000,4948,0.944282,0.055718,154.20
105,25,0.600,2.0,4.00,50,72,25,800,0.00000000,1.00000000,0.24284093,1.00000000,7738,0.912864,0.087136,133.74
106,25,0.600,2.0,5.00,20,72,25,800,0.00000000,1.00000000,0.29521769,1.00000000,3228,0.963650,0.036350,127.33
107,25,0.600,2.0,5.00,30,72,25,800,0.00000000,1.00000000,0.28203714,1.00000000,4946,0.944304,0.055696,128.87
108,25,0.600,2.0,5.00,50,72,25,800,0.00000000,1.00000000,0.23051144,1.00000000,7732,0.912932,0.087068,124.77
109,25,0.600,2.5,1.50,20,72,25,800,0.00000000,1.00000000,0.20158359,1.00000000,3232,0.963605,0.036395,121.31
110,25,0.600,2.5,1.50,30,72,25,800,0.00000000,1.00000000,0.21615993,1.00000000,4910,0.944710,0.055290,123.27
111,25,0.600,2.5,1.50,50,72,25,800,0.00000000,1.00000000,0.36161367,1.00000000,7682,0.913495,0.086505,125.45
112,25,0.600,2.5,2.00,20,72,25,800,0.00000000,1.00000000,0.26304316,1.00000000,3226,0.963673,0.036327,125.06
113,25,0.600,2.5,2.00,30,72,25,800,0.00000000,1.00000000,0.29300872,1.00000000,4948,0.944282,0.055718,124.28
114,25,0.600,2.5,2.00,50,72,25,800,0.00000000,1.00000000,0.35368634,1.00000000,7732,0.912932,0.087068,125.57
115,25,0.600,2.5,2.50,20,72,25,800,0.00000000,1.00000000,0.39353990,1.00000000,3230,0.963628,0.036372,124.38
116,25,0.600,2.5,2.50,30,72,25,800,0.00000000,1.00000000,0.28343812,1.00000000,4948,0.944282,0.055718,124.28
117,25,0.600,2.5,2.50,50,72,25,800,0.00000000,1.00000000,0.21546807,1.00000000,7730,0.912954,0.087046,124.75
118,25,0.600,2.5,3.00,20,72,25,800,0.00000000,1.00000000,0.25034789,1.00000000,3230,0.963628,0.036372,124.45
119,25,0.600,2.5,3.00,30,72,25,800,0.00000000,1.00000000,0.23954148,1.00000000,4942,0.944349,0.055651,124.93
120,25,0.600,2.5,3.00,50,72,25,800,0.00000000,1.00000000,0.19143884,1.00000000,7734,0.912909,0.087091,124.71
121,25,0.600,2.5,4.00,20,72,25,800,0.00000000,1.00000000,0.27743571,1.00000000,3234,0.963583,0.036417,122.50
122,25,0.600,2.5,4.00,30,72,25,800,0.00000000,1.00000000,0.26154334,1.00000000,4952,0.944237,0.055763,123.63
123,25,0.600,2.5,4.00,50,72,25,800,0.00000000,1.00000000,0.27451247,1.00000000,7730,0.912954,0.087046,123.80
124,25,0.600,2.5,5.00,20,72,25,800,0.00000000,1.00000000,0.37552480,1.00000000,3232,0.963605,0.036395,124.18
125,25,0.600,2.5,5.00,30,72,25,800,0.00000000,1.00000000,0.29648488,1.00000000,4942,0.944349,0.055651,124.45
126,25,0.600,2.5,5.00,50,72,25,800,0.00000000,1.00000000,0.27053251,1.00000000,7728,0.912977,0.087023,123.72
127,25,0.600,3.0,1.50,20,72,25,800,0.00000000,1.00000000,0.25798430,1.00000000,3224,0.963695,0.036305,122.88
128,25,0.600,3.0,1.50,30,72,25,800,0.00000000,1.00000000,0.25161990,1.00000000,4908,0.944732,0.055268,123.77
129,25,0.600,3.0,1.50,50,72,14,800,0.00000000,1.00000000,0.18670452,1.00000000,7406,0.916603,0.083397,124.01
